tn,en
قص الصوت,Mute the sound
افتح الباب,Open the door
وين الهاتف متاعي؟,Where is my phone?
حط التكييف على 24 درجة,Set the AC to 24 degrees
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
بدّل القناة,Change the channel
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
سَكّر الباب الرئيسي,Lock the main door
ارفع الصوت,Increase the volume
سَكّر الباب الرئيسي,Lock the main door
شعل الضوء متاع المطبخ,Turn on the kitchen light
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
شعل الموسيقى,Play the music
بدّل القناة,Change the channel
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
سَكّر الباب الرئيسي,Lock the main door
حَلّي الضو في السالون,Turn on the living room light
اطفي التلفزة,Turn off the TV
شعل الضوء متاع المطبخ,Turn on the kitchen light
افتح الباب,Open the door
سخّن الدوش,Heat the shower
حَلّي الضو في السالون,Turn on the living room light
شعل الضو متاع الكراج,Turn on the garage light
وين الهاتف متاعي؟,Where is my phone?
ارفع الصوت,Increase the volume
شعل الموسيقى,Play the music
برد الغرفة شوية,Cool the room a bit
تحقق من الكاميرا متاع الباب,Check the door camera
وين الهاتف متاعي؟,Where is my phone?
وين الهاتف متاعي؟,Where is my phone?
شعل الموسيقى,Play the music
نبهني بعد ساعة,Remind me in one hour
قص الصوت,Mute the sound
وين الهاتف متاعي؟,Where is my phone?
افتح الستارة,Open the curtain
ارفع الصوت,Increase the volume
طفّي الضو في الكوجينة,Turn off the kitchen light
كيفاش الطقس اليوم؟,What's the weather like today?
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
سكر الشباك,Close the window
شعل الموسيقى,Play the music
اطفي التلفزة,Turn off the TV
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
كيفاش الطقس اليوم؟,What's the weather like today?
كيفاش الطقس اليوم؟,What's the weather like today?
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
شعل الموسيقى,Play the music
شكون يضرب الجرس؟,Who rang the bell?
وين الهاتف متاعي؟,Where is my phone?
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
تحقق من الكاميرا متاع الباب,Check the door camera
حَلّي الضو في السالون,Turn on the living room light
وين الهاتف متاعي؟,Where is my phone?
كيفاش الطقس اليوم؟,What's the weather like today?
شعل الموسيقى,Play the music
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
شعل الضو متاع الكراج,Turn on the garage light
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
شعل الضوء متاع المطبخ,Turn on the kitchen light
حَلّي الضو في السالون,Turn on the living room light
برد الغرفة شوية,Cool the room a bit
تحقق من الكاميرا متاع الباب,Check the door camera
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
برد الغرفة شوية,Cool the room a bit
سَكّر الباب الرئيسي,Lock the main door
ذكرني باش نشرب دواء,Remind me to take my medicine
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
سَكّر الباب الرئيسي,Lock the main door
شكون يضرب الجرس؟,Who rang the bell?
نبهني بعد ساعة,Remind me in one hour
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
حط التكييف على 24 درجة,Set the AC to 24 degrees
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
سخّن الدوش,Heat the shower
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
افتح الستارة,Open the curtain
برد الغرفة شوية,Cool the room a bit
نبهني بعد ساعة,Remind me in one hour
سَكّر الباب الرئيسي,Lock the main door
شعل الضوء متاع المطبخ,Turn on the kitchen light
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
شعل الموسيقى,Play the music
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
سخّن الدوش,Heat the shower
شعل الضوء متاع المطبخ,Turn on the kitchen light
شعل الضوء متاع المطبخ,Turn on the kitchen light
شكون يضرب الجرس؟,Who rang the bell?
افتح الستارة,Open the curtain
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
حَلّي الضو في السالون,Turn on the living room light
وين الهاتف متاعي؟,Where is my phone?
برد الغرفة شوية,Cool the room a bit
سَكّر الباب الرئيسي,Lock the main door
سخّن الدوش,Heat the shower
شعل الموسيقى,Play the music
اطفي التلفزة,Turn off the TV
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
وين الهاتف متاعي؟,Where is my phone?
ارفع الصوت,Increase the volume
قص الصوت,Mute the sound
ذكرني باش نشرب دواء,Remind me to take my medicine
شعل الموسيقى,Play the music
تحقق من الكاميرا متاع الباب,Check the door camera
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
اطفي التلفزة,Turn off the TV
تحقق من الكاميرا متاع الباب,Check the door camera
شعل الضوء متاع المطبخ,Turn on the kitchen light
ارفع الصوت,Increase the volume
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
سَكّر الباب الرئيسي,Lock the main door
حط التكييف على 24 درجة,Set the AC to 24 degrees
سَكّر الباب الرئيسي,Lock the main door
تحقق من الكاميرا متاع الباب,Check the door camera
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
افتح الباب,Open the door
شعل الموسيقى,Play the music
حط التكييف على 24 درجة,Set the AC to 24 degrees
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
شعل الضوء متاع المطبخ,Turn on the kitchen light
بدّل القناة,Change the channel
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
افتح الستارة,Open the curtain
شعل الضو متاع الكراج,Turn on the garage light
سَكّر الباب الرئيسي,Lock the main door
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
قص الصوت,Mute the sound
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
شعل الموسيقى,Play the music
افتح الباب,Open the door
شعل الضوء متاع المطبخ,Turn on the kitchen light
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
نبهني بعد ساعة,Remind me in one hour
افتح الستارة,Open the curtain
شعل الضوء متاع المطبخ,Turn on the kitchen light
شكون يضرب الجرس؟,Who rang the bell?
سَكّر الباب الرئيسي,Lock the main door
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
برمج المكنسة في التسعة متاع الصباح,Schedule the vacuum at 9 AM
سَكّر الباب الرئيسي,Lock the main door
سَكّر الباب الرئيسي,Lock the main door
اطفي التلفزة,Turn off the TV
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
شعل الضوء متاع المطبخ,Turn on the kitchen light
سَكّر الباب الرئيسي,Lock the main door
طفّي الضو في الكوجينة,Turn off the kitchen light
شعل الموسيقى,Play the music
حَلّي الضو في السالون,Turn on the living room light
اطفي التلفزة,Turn off the TV
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
سخّن الدوش,Heat the shower
ذكرني باش نشرب دواء,Remind me to take my medicine
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
حطّ المنبه على السبعة متاع الصباح,Set the alarm for 7 AM
شعل الضو متاع الكراج,Turn on the garage light
قص الصوت,Mute the sound
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
سَكّر الباب الرئيسي,Lock the main door
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
سخّن الدوش,Heat the shower
سخّن الدوش,Heat the shower
اطفي التلفزة,Turn off the TV
حَلّي الضو في السالون,Turn on the living room light
برد الغرفة شوية,Cool the room a bit
شعل الموسيقى,Play the music
حَلّي الضو في السالون,Turn on the living room light
شعل الموسيقى,Play the music
زيد الحرارة بدرجتين,Increase the temperature by 2 degrees
شعل الموسيقى,Play the music
حط التكييف على 24 درجة,Set the AC to 24 degrees
هبّط الستار في بيت الجلوس,Lower the blinds in the living room
سَكّر الباب الرئيسي,Lock the main door
شعل الضو متاع الكراج,Turn on the garage light
برد الغرفة شوية,Cool the room a bit
سَكّر الباب الرئيسي,Lock the main door
بدّل القناة,Change the channel
سَكّر الباب الرئيسي,Lock the main door
سكر الشباك,Close the window
سكر الشباك,Close the window
سَكّر الضو في الطابق الثاني,Turn off the light on the second floor
اطفي التلفزة,Turn off the TV
ارفع الصوت,Increase the volume
شعل الضو متاع الكراج,Turn on the garage light
اطفي التلفزة,Turn off the TV
ارفع الصوت,Increase the volume
طفّي المكيف في بيت النوم,Turn off the AC in the bedroom
شد إطفل من يدو وشق بيه إلكياس,Take the kid by the hand and cross the street with him.
شد إلكرسي من ساقو ورماه,He took the chair with his leg and threw it.
شد الحبل بالقوي وماتسيبوش,Grab the rope well and don't let go.
ميسي شد الريتم متاع التسجيل في كل ماتش,Messi got into a pattern of scoring every match.
شد في رايو وما حبش يبدل فكرتو,He held to his opinion and didn't want to change his ideas.
شد روحو عل ماكلة خاترو صايم,He waited to eat because he was fasting.
شد أشرب كاس سيتروناد,Take and drink this glass of lemonade.
شد إريڨلة ونظم روحو فلماكلا,He was well-behaved and began to eat well.
شد النفس والتحكم فيها حاجا ضرورية,Patience and self-control is a necessary thing.
شد لمرايا بلقوي ياخي كسرها,He grabbed the mirror firmly and broke it.
سمع نكت خشينا ياسر ياخي شد جنابو مضحك,He heard a great joke and laughed until his sides hurt.
شد صحيح في قرايتو حتى خذى إدكتورا,He persevered in his studies until he got a doctorate.
شد في موقفو وما حبش يبدل توجهاتو,He kept his position and didn't want to cahnge his views.
شد ما سيب فلغنى مصباح لليل,He kept singing and wouldn't stop from morning to night.
شد بلاصتو فلكار قبل إناس إلكل,He took his place in the bus before everyone else.
شد الكاس بشويا لا توا تبزعو,Take the cup carefully so you don't spill it.
شد الصف باش يقص إتسكر متع إلمترو,He got in line to buy a ticket for the metro.
السارق بعد مافاقو بيه شد الربعي و هرب,"After they saw the thief, he took off and ran away."
شد بلاصتو و يخدم لاباس عليه,He got a job and is working; he's doing well.
كي تهبط تحط الماء حاول شد النفس أكثر,"When you go under the water, try to hold your breath longer."
أحمد شد فيا الصحيح باش نمشي نسهر معاهم,Ahmed insisted that I go to the party with them.
شد ما سيب بتاليفونات يمرج فيا يحبني نعطيه لفلوس,"He kept nagging me and calling me, bothering me because he wants me to give him money."
صاحبها شد عليها البروفا وديما يهدد فيها,Her friend held it over her and always threatened her.
شبيك شاد قارد للطفلة تبع فيها من بلاصة لبلاصة,Why are you always following that girl? You keep following her from place to place.
الحالة هاذي تشد الإنتباه,That case draws attention.
حسيتو شاد ڨارد وما يحبش حتى حد يقربلو والا يحكي معاه,I felt like he was on guard and didn't want anyone to come near him or talk with him.
رامي شد مروى هزلها ساقيها,Rami took Marwa and lifted her up to have sex with her.
شد الصف قصان التساكر بالطور,Get in line; buying tickets is one by one.
أيمن شد الطفل دمدمو بطريحة,Aymen grabbed the kid and beat him bloody.
محسن شد الطفل لعب بيه لعب,Mohsen held the boy and tricked him.
بعد لعمايل الي عملها الكل تاب و شد الطريق المستقيم,"After all that he had done, he repented and walked on the straight path."
الإرهابي هز إيديه وقتلي البوليس شد عليه سلاح و قالو: آقف !,"The terrorist lifted his hands when the police caught him with weapons and said, ""Stop!"""
شد بلاصتو وبقى رايض,He took his seat and was well-behaved.
أحمد شد بروفيزوار ادارة الشركة حتى لين يرجع المدير من السفر,Ahmed took over administration of the company provisionally until the director comes back from traveling.
ترفك الشيكات ياخي شد الحبس,He tampered with checks and so went to jail.
شد يد المطرقة من الوسط و أضرب,Grab the handle of the hammer in the middle and hit.
اليوم البواب شد الباب سكرو ماخلنيش ندخل نقابل المدير,The guard took the door and closed it today and didn't let me go meet the director.
شد بل المريول وبعد شيحو,"Take the shirt and wet it, then let it dry out."
شد حوتا كبيرا ياخي قطعتلو خيط إصنارة,He caught a big fish and it snapped the fishing line.
آش بيه خراوات ياخي ، قتلو شد إصف كيناس لكل وما حبش,"What, is he some kind of real jerk? I told him to get in line like everyone else, but he didn't want to."
محلاها مزيانة برشا,"Wow, she's really beautiful."
طيح برشة فلوس من مشروعو الجديد,He earned a lot of money from the new project.
رئيس الجمعية عندو برشة فلوس,The President of the Republic has a lot of money.
كيف كان صغير كان يحلم برشا ويحب يحقق برشا حاجات,When he was little he dreamt a lot and wanted to achieve many things.
عينيه تلعب برشا صاحبك,Your friend keeps looking all around.
أنا ليامات لاهي برشا,These days I am very busy.
مشيت برشا مرات لسوسة.,I went to Sousse a lot.
خذا برشا وقت باش يخمم فلموضوع وهانا لتوا نستناو,He took a lot of time to think about the subject and we are waiting for him until now.
المريول هذا فما منو برشا فالسوق,That shirt is all over the market.
سوم اللحم طالع برشا ليامات,The price of meat is going up a lot these days.
اللوز مش موجود برشا,Almonds are not commonly available.
شرب برشا من كثرة ما عطش,He drank a lot because he was so thirsty.
حلم برشا وكان يستخايل الدنيا ساهلا ، ياخي بعديكا تصدم بالواقع,He dreamt a lot and imagined that life was easy; then he ran into reality.
شك برشا في إمكانياتو ، إشي إلي خلاه يفشل في حياتو .,"He had a lot of doubts about his abilities, which caused him to fail in life."
الدنيا مهيش صعيبة برشا,Life isn't that hard.
خسر برشا فلوس على حكايات فارغا,He lost a lot of money over stupid things.
خويا قاري برشة,My brother is well-educated.
صور برشا فلوس,He earned a lot of money.
شسمو حسو برشا نهار و طولو و هوا يهتري,That guy makes a lot of noise; he talks all day long.
صاحبي خدم برشا خدم ، مرا فلاح ، مرا بناي ، مرا تاكسيست,"My friend had many jobs - once as a farmer, once as a builder, and once as a taxi driver."
ياسين ربح برشا فلوس الشهر هاذا,Yassine won a lot of money this month.
جارنا لاباس عليه برشا,Our neighbor is very rich.
المرا هاذي عندها برشا ذري,That woman has a lot of children.
هذاكا فلوسو برشا,That guy is rich.
تحل شويا في المصروف و يزي م التقرنيط,Be a little looser with your money and quit being so stingy.
لافريك فيها برشا ديامون لكن فيها برشا فقر,"Africa has a lot of diamonds, but it is very poor."
"في تونس فما برشا جبهات,جبهة الإنقاذ و الجبهة الشعبية و برشا أخرين,بكلهم أحزاب","There are a lot of political fronts in Tunisia: the Salvation Front, the Popular Front, and a lot of others; they're all political parties."
العبد الأنيميك لازمو ياكل برشة خضرة و برشة ماكلة فيها الحديد.,Anemic people need to eat a lot of vegetables and a lot of food with iron.
ربح برشة فلوس ، عندو بخت طيارة برشة.,He won a lot of money and has great luck.
"البحر اليوم إموج برشة, فمة برشة ريح",The beach is very rough today; there is a lot of wind.
اللعب برشة برشة صطكو و خلاه يوخر في قرايتو,Playing around a ton smacked him in the face and caused him to fall behind in his studies.
وقتلي تبدى عندي برشة خدمة و التاليفون ينوقز برشة مرات إمهمشني,"When I have a lot of work and the phone is ringing a lot, it distracts me."
تحب تغول كول برشة بروتيين و أعمل برشة سبور,"If you want to become tougher, eat a lot of protein and exercise a lot."
الأناناس غلة بنينة برشة أما خسارة موش موجودة برشة في تونس,"Pineappples are really good, but too bad, they're not very common in Tunisia."
الكتاب هاذا مفيد برشة تعلم منو برشة حاجات,This book is very useful and you can learn a lot of things from it.
حطيت برشة بابريكا في الماكلة جات محرحرة برشة,I put a lot of paprika in the food an it turned out to be very hot.
فمة برشة ناس يقولوا العصر متاعنا توة خايب برشة و يوصفوه بعصر الإنحطاط.,There are a lot of people who say our age now is very bad and they describe it as the fallen age.
حليب الرضاعة صحي برشا للمولود إجديد وزادا خير برشا من أي حليب آخر,"Breast milk is very healthy for the newborn, and also it is better than any other milk."
في الصيف يجيو برشا زمقري,A lot of visitors come in the summer.
برشا زواحف في الصحراء,There are a lot of reptiles in the desert.
غدوة باش يجي نهار سخون,Tomorrow is going to be hot.
من غدوا تبدى الخدمة,You'll start work tomorrow.
اليوم جمعة ، بعد غدوة أحد.,Today is Friday and the day after tomorrow is Sunday.
غدوة باش تصب المطر في جهة الشمال الغربي,It will rain in the northwest tomorrow.
الحاصل أنا غدوا مانيش باش نجي معاكم,"In summary, I'm not coming with you tomorrow."
حسب التوقعات الجوية غدوة الطقس باش يتبدل,"According to the weather report, the weather will change tomorrow."
غدوة خويا باش يلبس الخاتم,Mourad gave his fiancee her engagement ring; they'll get married this summer.
غدوة باش نمتثل قدام القاضي,I'm going to appear before the judge tomorrow.
عندي رنديفو غدوة الصباح,I have a meet-up tomorrow morning.
غدوا ماشي نقرا,Tomorrow I'm going to study.
غدوا نهار عطلة,Tomorrow is a holiday.
عندي إجتماع غدوة,I have a meeting tomorrow.
غدوة عندي إكزامان,I have a test tomorrow.
غدوة عندي إكسبوزي في الخدمة,I have a presentation at work tomorrow.
ماتنساش غدوا باش تجي في الوقت متاع الإجتماع,Don't forget to come on time for the meeting tomorrow.
جاتني أنفورماسيون إلي فمة إضراب متاع ترينوات غدوة.,I got some information that there is a train strike tomorrow.
أوخ ! بلحق فمة إضراب تاكسيات غدوة ،,"Oh, wow, is there really a taxi strike today?"
غدوة باش نمشي للبلدية نڨد أوراقي.,I'm going to go to the town hall tomorrow to take care of my papers.
بهيشي عاد غدوا فلوسك يكونو عندك,"Of course, now. You'll have your money tomorrow."
غدوة نمشي للمكتبة الوطنية بش نلوج عل المراجع,I'm goig to the national library tomorrow to look for references.
عداو فلاش صغير فالتلفزفة عالبرنامج إلي باش يعديوه غدوة,They did a quick TV spot on the program they're going to show tomorrow.
إنشالله تسلكها غدوة في الإكزامان,God willing you'll figure it out tomorrow in the test.
"ديما موخرها التالي,تقلو إيجا نعملو أكا الحاجة يقلك توا غدوة","He always puts things off; if you tell him to come and do something, he tells you, 'Let's do it tomorrow.'"
يلزمني نمشي لراديولوق غدوة الصباح,I need to go to the radiologist tomorrow morning.
نتقابلو غدوا الصباح انشاء الله,"We will meet tomorrow morning, Lord willing."
غدوة طالع لفرنسا,I'm going to France tomorrow.
نظن انو غدوا أول يوم في رمضان,I assume tomorrow will be the first day of Ramadan.
الراجل الي سرق الدار عفاو عليه و غدوة يخرج من الحبس,The man who robbed the house was pardoned; he leaves jail tomorrow
غدوة باش نهزو العقيرة للعروسة,We're going to take the bride's gift tomorrow.
غدوة جيب معاك علم تونس,Bring a Tunisian flag tomorrow.
غدوا عيد الإضحى,Tomorrow is the sacrifice holiday.
غدوا عيد الإستقلال,Tomorrow is independence day.
غدوة باش نمشي للمعمل نجيب عينة من البرودوي الجديد,Tomorrow we're going to bring a sample of the new product.
نتقبلوا غدوا في المكان المحدد,Let's meet in the set place tomorrow.
آتوا نكمل نخدمها غدوة,I'll finish working on it tomorrow.
غدوة باش نمشي نعمل الفحص الفني للكرهبة,I'm going to do the car inspection tomorrow.
غدوة باش نمشي للفيديراسيون باش نجيب الاجازات متع الملاعبية,I'm going to the federation tomorrow to bring the prizes for the players.
فما فستفال فالحمامات غدوا,There is a festival in Hammamat tomorrow.
فما إمكانية نتقابلو غدوا,There is a possibility we'll meet tomorrow.
فما شكون عاطيه كلمة باش يجيه غدوا,Someone gave him his word that he'll come tomorrow.
أمْپَارْمِيَابْلْ,"impermaeable, water-proof, water-proof jacket"
تعرّى,"to undress, strip"
تَقْرِيطَة,any wrap for head
"مَرْيُول ,تِيشُورْتْ",t- shirt
ثَوْبْ,"clothes, outfit"
جِبَّة,traditional robe for men
جِبَّة خَمْرِي,jibba made of special material
جِبَّة عَرْبِي,traditional jibba
جْرُودْ,old clothes
جَلاَّبَة,traditional North African robe
جَلَّابِيَّة,traditional Sudanese and Egyptian robe
جُوكِينْڨْ,leggings
جُوكِينْڨْ,"a jog, run"
جِيسْتْكُورْ,tight trousers for girls
جِيلَا,"vest, coat"
جِيلِيَّة,a vest
حَاطّْ,"put on, wearing"
حَاطِتْ الحَطَّة,"wearing really nice clothes, dressed up"
حَاطِتْ پَارُوكْ,wearing a wig
حِسْ الطَّالُونْ,the sound of women's high heels
حْطَايْطِي,someone who's always well dressed
حَطَّة,nice clothes
حُلَّة,"apparel, good looks, clothing"
حْوَايِجْ,clothes
حْوَايِجْ,things
حْوَايِجْ النُّومْ,"The clothes you wear before going to sleep, pyjamas"
حْوَايِجْ ضِيْقَة,tight clothes
حْوَايِجْ مْطَرْزَة,sewn clothes
خَاتِمْ,a ring
خُلْخَالْ,traditional silver bracelet for women
خَلْعَة,undershirt
دْبَشْ,"clothes, things, stuff"
دْبَشْ,things
دجين,Jeans
دِيبَارْدُورْ,sleeveless T-shirt
رُوبَّا,dress
لباس تَقْلِيدِي,traditional clothes
سَالُوپَاتْ,overalls
سَانْتُورْ,belt
صبّاط,shoes
سِتْرِينِڨْ,"nightie, negligee"
سِرْوَالْ,"pants, trousers"
سِرْوَالْ عَرْبِي,Arab trousers (loose pants)
سِرْوَالْ قَمْرَايَة,silk trousers
سِفْسَارِي,traditional wrap worn by older women
سْكَافَنْدْرِي,a traditional costume for men
سْلِيبْ,"underpants, underwear"
سوتيان قورج,bra
سوريّة,buttoned shirt
شَّاشِيَّة,"fez, felt red hat"
شان (على الشتا),neck-warmer
شلاكة,slippers
شلاكة بو صبع,flip flops
شورت,shorts
شُومِيزْ,shirt
شيشخان,gold necklace formerly worn by the Bey
صَبَّاطْ ضَارْبُو,his shoes hurt him
صَبَّاطْ نُصْ قَصْبَةْ,"hightops, shoes that reach the ankles"
صَنْدَالْ,sandals
صُورِيَّةْ نُومْ,"bathrobe, gown"
صْيَاغَة,jewelry
صَيِّفْ,to start wearing summer clothes
طَالُونْ,high heels
طَبْلِيَّةْ,"uniform , apron"
طَرْبُوشَةْ,"cap, hood"
طَقْرِيطَةْ,headband 
عَرَّى,"to strip, take off clothes"
عَرَّى,"to take off a lid, reveal the truth"
عْطَفْ,to hem
عْطَفْ,to turn
عَطْفَةْ,a hem
فِلْسَةْ,button
فُولَارَةْ,scarf
فِيسْتَةْ,"jacket, coat"
ڨَاطِيفَةْ,a type of thin cloth used for traditional clothes
قُبْقَابْ,wooden sandals for the public baths
ڨُرْبِيطَةْ,bow 
قَشَّابِيَّةْ,traditional long coat
قَشِّشْ,to buy nice clothes
قْطِيفَةْ,"traditional robe, like jibba"
قُفْطَانْ,traditional dress
قَمْرَايَةْ,"type of traditional robe, often worn by traditional music band, with pants"
ڨْوَانْدُوَاتْ,Gloves
ڨُونِيلَّا,nightie
كَبُّوسْ,"traditional hat, often worn by Jews"
كَبُّوطْ,Coat
كَبُّوطْ بِالفُورُورْ,fur coat
كْرَافَاتْ,Tie
كْرَافَاتْ بَابِيُونْ,Bowtie
كُرُومْبُونْ,cleats
كَسْكَاتْ,"Cap, baseball cap"
كِسْوَةْ,Traditional clothes
كَشِّطْ,to put a turban on one's head
كَشْكُولْ,Scarf
كْلَاسِطْ,Socks
كَلْسِيطَةْ,One sock
كُمْبِرِيسِيهَا,put a patch on it
كُوسْتُومْ,suit
كُولْ,collar
كومبينازون,overalls
لَابِسْ,wearing
لَبَّاسْ,"fashionable person, someone who knows how to dress well"
لِبَاسْ,clothes
لَبِّسْ,"to clothe, dress"
لِبِسْ,"to wear, put on"
لْبِسْ حْوَايِجْ,to wear clothes
لِبْسَةْ,clothes
لِبْسَةْ الخِدْمَةْ,working clothes
لِبْسَةْ سْبُورْ,"exercise clothes, sportwear"
لِبْسَةْ سْوَارَى,"party clothes, fancy clothes"
لِبْسَةْ مْتَاعْ خَرْجَةْ,clothes for going out
لْسَانْ السَبَّاطْ,tongue of shoe
لُونَاتْ,eyeglasses
لُونَاتْ سُونْ كَادِرْ,frameless glasses
لُونَاتْ مْتَاعْ نْظَرْ,prescription glasses
لُونَاتْ مْتَاعْ وِقَايَةْ,protective glasses/helmet
مَايُو,woman's swimsuit
مْحَزِّقْ,tightened (clothes)
مَحْزُوقْ,tight (clothes)
مْرَايَاتْ قَاعْ دَبُّوزَةْ,"glasses with thick frames, coke bottle glasses"
مْرَايَاتْ نْظَرْ,prescription eyeglasses
مْرَيّاتْ,glasses
مْشَتِّي,wearing winter clothes
مَلْيَةْ,dark dress worn by women in the south
مُوظَة لِخْرَا,the latest fashion
مُوضَةْ,"fashion, style"
مُوكَاسَانْ,moccasin
نَحَّي حْوَايْجُو,"to take off one's clothes, undress"
نَعْلْ,"shoe, especially a type of sandal worn with traditional jibbas"
نَفَّخْ الحْوَايِجْ,to soak clothes in water
نْفَضْ لَحْوَايِجْ,"to shake out clothes, clean them off"
نَوْعِيَّةْ القْمَاشْ,the quality of the cloth
هِنْدَامْ لَايَقْ,"nice clothes, good-looking outfit"
بُوكْلْ,earring
بَلُّوطَة,earring
أنْسُومْبِلْ,outfit (clothes)
بَالْ مَاسْكَا,"balaclava, ski mask"
بْرَاسْلِي,bracelet
بَرْتَقْ,to click/clack like wooden shoes or heels
بَرْطَلَّة,funny hat
بَرْقِشْ رُوحُو,he got all dressed up
بَرْنُوسْ,traditional wool coat
بْرُوتَاجْ,protective gear
بْرُوتَالْ,cami (undershirt for women)
بْرُوتْكَانْ,high boots worn with uniforms
بْلَالِطْ,earrings
بَلْغَة,traditional men's white slippers
بْلُوزَة,coat 
بْلُوزُونْ,"coat, jacket"
بُوبَرْتَلَّه,someone who wears old clothing that doesn't go together
بُوتْ,boots
بُودِي,muscle shirt
بُوسْطُو,bra
بُونَا,winter cap
بِيجَامَا,pyjamas
بِيرِيَّة,beret
پُونْتَالُونْ,"pants, trousers"
تَالُونْ,heels (high heeled shoes)
تْأَنَّقْ,"to dress well, look elegant"
تِتِلْهَى بْرُوحْهَا,"she takes care of herself, dresses well"
تْجِي عْلِيهَا,"it becomes her, fits her, looks good on her"
تْرِيكُو,"t-shirt, sweater"
كَاسْكَاتْ,"cap, baseball hat"
مُنْقَالَةْ دِجِيطَالْ,digital watch
مِدْرِيسِي,"dressed, wearing"
كَاسْكَا,"helmet, hard hat"
كَابُوشْ,"hoodie, shirt or coat with hood"
مَظَلَّةْ,hat with wide or full brim
مَكِينَةْ مْتَاعْ خْيَاطَةْ,sewing machine
كُولْ مْتَاعْ سُورِيَّةْ,shirt collar
مُونْشْ,sleeve (shirt)
مَحْزُوقَةْ,tight
كُومْبِينِزُونْ,"outfit, set that goes together"
لُونَاتْ مْتَاعْ شَمْسْ,sunglasses
مَرْيُولْ,"shirt, t-shirt"
كَالْسُونْ,leggings
هِنْدَامْ,nice clothes
أخْ,brother
تَعَدُّدْ الأَزْوَاجْ,"polyandry, to have more than one husband"
تَعَدُّدْ الزَّوْجَاتْ,"polygamy, to have more than one wife"
تَقَارُبْ,"relationship, closeness"
تَكَاثُرْ,"multiplication, proliferation"
تَنْظيمْ عَايْلِي,family planning
تْهَجِّلْ,to be a widow(er)
تَوْأَمْ,twin
تْوَامَة,twins
تُونْتُونْ,"uncle, male friend of family"
جَابْتْ تْوَامَة,to give birth to twins
جَاتُو وَرْثَة,to receive an inheritance
جَدْ,grand father
جَدَّة,grand mother
جْدُودْ,ancestors
جِينِيَالُوجِي,genealogy
حَاجَة عَايْلِيَّة,a family affair
حُبْ حْيَاتُو,the love of his life
حْرَابِشْ مَنْعْ الحَمْلْ,contraceptive pills
حَزَّارْ,someone who is jealous for his wife/daughter/sister
حْمُو,father-in-law
حْمَى,mother-in-law
